Longitude_NAD83,Latitude_NAD83,Z_m,Hydraulic_conductivity_m/d,K_log transformed,measurement_method
788067,2314040.2,,499.8,2.699,
782594.5,2314439.1,,1141.8,3.058,
782230.6,2313725.2,,105.2,2.022,
779674.6,2314389.9,,349.2,2.543,
780273.9,2314861.5,,699.4,2.845,
778303.3,2313382.3,,1253.6,3.098,
776111.1,2314792.1,,952.5,2.979,
777753.5,2313403.9,,564.5,2.752,
769527.2,2314253.8,,620.7,2.793,
769819.2,2314073.9,,54.2,1.734,
769560.5,2313977.4,,650.1,2.813,
769788.8,2314165.7,,1953.9,3.291,
769644.3,2314163.4,,1073.3,3.031,
767592.8,2314068.8,,3319.3,3.521,
767249.4,2313847.9,,403,2.605,
763997.9,2312842.4,,904.4,2.956,
759127.4,2313658.4,,405.4,2.608,
759098,2313688.7,,153.6,2.187,
758542.6,2314080.1,,651.3,2.814,
758571.5,2314080.6,,593.3,2.773,
758484.7,2314079.2,,673.2,2.828,
744071.9,2313124,,190.2,2.279,
744068.8,2313339.3,,1176.8,3.071,
787296.5,2316796.5,,3.6,0.554,
787543.2,2315908.4,,499.8,2.699,
787480.6,2316184.2,,499.8,2.699,
787184.6,2316579.2,,80,1.903,
787622.5,2316340.5,,18.5,1.267,
787036,2315130.3,,177.3,2.249,
787317.7,2315566,,345,2.538,
787963.5,2316684.9,,119.2,2.076,
787291.5,2315411.7,,345,2.538,
785071.8,2316696.8,,689.6,2.839,
784983,2316818.4,,772.9,2.888,
781384.3,2315895.7,,806.9,2.907,
782587.9,2316531.5,,256,2.408,
781806.4,2316579.8,,183.1,2.263,
782354.1,2316681.4,,2464.4,3.392,
778512.2,2316462.9,,2726.7,3.436,
777999.6,2315992.8,,588.9,2.77,
772888.8,2315569.9,,149.3,2.174,
771424.6,2314930.7,,638.2,2.805,
758551.9,2315341.8,,140.8,2.149,
743830.1,2315827.8,,55.5,1.744,
744085.7,2316139.2,,72,1.858,
742149,2316141.7,,351.5,2.546,
786708.4,2317371,,52.9,1.724,
786508.7,2317213.7,,88.3,1.946,
785121.7,2317159.2,,149.3,2.174,
784749.1,2316968.2,,768,2.885,
784974.6,2317310.6,,183.1,2.263,
784915.2,2317401.8,,188.3,2.275,
784774.3,2317184.1,,107,2.029,
783056.4,2317893.3,,1130.8,3.053,
783041,2317093,,913,2.96,
783174.1,2317772.2,,274.8,2.439,
783122.5,2317402.1,,94.6,1.976,
783504.1,2317070.1,,1271.5,3.104,
781904.9,2317596.9,,1364.2,3.135,
782188.7,2317909.4,,201.6,2.305,
782304.4,2317911.3,,478,2.679,
781845.5,2317688.2,,550.3,2.741,
782290,2317049.5,,4710.6,3.673,
777400.5,2317244.4,,1619.4,3.209,
776816.8,2317573.1,,16.4,1.216,
777054.7,2317177.1,,462.9,2.666,
777084.1,2317146.8,,53.6,1.729,
774859.5,2317048.4,,8.4,0.923,
757615.5,2317942.6,,1361.8,3.134,
757672.8,2317974.3,,1050.2,3.021,
758020.6,2317918.1,,22.7,1.357,
757963.3,2317886.5,,5.4,0.73,
745026.8,2317014.5,,291.1,2.464,
757895.9,2318500.8,,513,2.71,
757426,2318985.8,,781.1,2.893,
757927.7,2318316.7,,493,2.693,
757575.7,2318649.7,,2622.7,3.419,
757690.8,2318682.3,,190.1,2.279,
744682.3,2318824.6,,261.2,2.417,
744342.7,2318327.3,,275.1,2.44,
744591.5,2319100.1,,966.4,2.985,
740827.1,2319599.2,,863.1,2.936,
755424.6,2321324.2,,1225,3.088,
745054.2,2321045.2,,492.1,2.692,
745486.7,2321113.1,,434,2.637,
745393.2,2321573.2,,82.9,1.919,
745308.8,2321418.1,,763.4,2.883,
743869.7,2321027.8,,619.5,2.792,
742849.9,2321597.5,,2377.8,3.376,
741699.6,2321211.6,,8195,3.914,
741770.9,2320289.7,,197.4,2.295,
741589.4,2320840.8,,4514.4,3.655,
741655.3,2320288,,2308.2,3.363,
741567.7,2320348.3,,3343.6,3.524,
745621.2,2321791.9,,917.8,2.963,
746108.7,2322045.3,,820.4,2.914,
746072.5,2322537,,388.2,2.589,
745876.2,2322134.1,,548.3,2.739,
743270.3,2322495.8,,955.7,2.98,
742630.6,2322763.4,,774.7,2.889,
851383.7,2106599.2,,238.2,2.377,
858649.6,2110926.3,,35.2,1.546,
863339.2,2115113.4,,1953.9,3.291,
