,site_id,X_m,Y_m,East_UTM_km,North_UTM_km,K_m/d,log_K_m/d,measurement_method,data_source,ISO 3166
154,Hawaii_aquifer_Maui,609501.4,2365882.2,,,152.9,5.029784112935016,nan,10.1007/s10040-007-0271-0,US
155,Hawaii_aquifer_Maui,609501.4,2365882.2,,,47.1,3.8522730010223722,nan,10.1007/s10040-007-0271-0,US
156,Hawaii_aquifer_Maui,609649.5,2365268.2,,,557.4,6.323283115047848,nan,10.1007/s10040-007-0271-0,US
157,Hawaii_aquifer_Maui,610191.3,2366071.2,,,82.0,4.406719247264253,nan,10.1007/s10040-007-0271-0,US
158,Hawaii_aquifer_Maui,609243.5,2365696.0,,,65.6,4.183575695950044,nan,10.1007/s10040-007-0271-0,US
159,Hawaii_aquifer_Maui,610715.9,2365152.4,,,893.8,6.795482036499351,nan,10.1007/s10040-007-0271-0,US
160,Hawaii_aquifer_Maui,610773.0,2365214.3,,,1348.8,7.206970587247591,nan,10.1007/s10040-007-0271-0,US
161,Hawaii_aquifer_Maui,609243.5,2365696.0,,,7.7,2.0412203288596382,nan,10.1007/s10040-007-0271-0,US
162,Hawaii_aquifer_Maui,609619.7,2365421.8,,,253.7,5.536152466605236,nan,10.1007/s10040-007-0271-0,US
163,Hawaii_aquifer_Maui,609504.5,2365421.0,,,292.1,5.677096209393695,nan,10.1007/s10040-007-0271-0,US
164,Hawaii_aquifer_Maui,609215.5,2365572.8,,,179.7,5.191288793789513,nan,10.1007/s10040-007-0271-0,US
165,Hawaii_aquifer_Maui,609214.5,2365726.5,,,68.9,4.232656178019613,nan,10.1007/s10040-007-0271-0,US
166,Hawaii_aquifer_Maui,609446.7,2365451.4,,,286.6,5.6580875153940715,nan,10.1007/s10040-007-0271-0,US
167,Hawaii_aquifer_Maui,608465.8,2365721.5,,,36.0,3.58351893845611,nan,10.1007/s10040-007-0271-0,US
168,Hawaii_aquifer_Maui,608437.0,2365721.3,,,48.4,3.879499813722586,nan,10.1007/s10040-007-0271-0,US
