"x" "y" "z" "Facies"
374.4 799.5 45.2 2
384 820 45.2 2
393.6 840.5 45.2 2
403.2 861 45.2 2
412.8 881.5 45.2 6
422.4 902 45.2 6
432 922.5 45.2 6
441.6 943 45.2 6
451.2 963.5 45.2 6
460.8 984 45.2 6
470.4 1004.5 45.2 2
480 1025 45.2 2
489.6 1045.5 45.2 2
499.2 1066 45.2 2
508.8 1086.5 45.2 2
518.4 1107 45.2 2
528 1127.5 45.2 2
537.6 1148 45.2 2
547.2 1168.5 45.2 2
556.8 1189 45.2 2
566.4 1209.5 45.2 2
576 1230 45.2 2
585.6 1250.5 45.2 6
595.2 1271 45.2 6
604.8 1291.5 45.2 6
614.4 1312 45.2 6
624 1332.5 45.2 4
633.6 1353 45.2 4
643.2 1373.5 45.2 4
652.8 1394 45.2 4
662.4 1414.5 45.2 4
672 1435 45.2 4
681.6 1455.5 45.2 7
691.2 1476 45.2 7
700.8 1496.5 45.2 6
710.4 1517 45.2 6
720 1537.5 45.2 6
729.6 1558 45.2 6
739.2 1578.5 45.2 6
748.8 1599 45.2 6
758.4 1619.5 45.2 6
768 1640 45.2 6
777.6 1660.5 45.2 7
787.2 1681 45.2 7
796.8 1701.5 45.2 7
806.4 1722 45.2 5
816 1742.5 45.2 5
825.6 1763 45.2 5
835.2 1783.5 45.2 5
844.8 1804 45.2 5
854.4 1824.5 45.2 6
864 1845 45.2 6
873.6 1865.5 45.2 6
883.2 1886 45.2 2
892.8 1906.5 45.2 2
902.4 1927 45.2 2
912 1947.5 45.2 2
921.6 1968 45.2 2
931.2 1988.5 45.2 2
940.8 2009 45.2 2
950.4 2029.5 45.2 5
960 2050 45.2 5
969.6 2070.5 45.2 5
979.2 2091 45.2 5
988.8 2111.5 45.2 5
998.4 2132 45.2 5
1008 2152.5 45.2 5
1017.6 2173 45.2 5
1027.2 2193.5 45.2 5
1036.8 2214 45.2 5
1046.4 2234.5 45.2 5
1056 2255 45.2 5
1065.6 2275.5 45.2 5
1075.2 2296 45.2 6
1084.8 2316.5 45.2 6
1094.4 2337 45.2 2
1104 2357.5 45.2 2
1113.6 2378 45.2 2
1123.2 2398.5 45.2 2
1132.8 2419 45.2 2
1142.4 2439.5 45.2 2
1152 2460 45.2 2
1161.6 2480.5 45.2 2
1171.2 2501 45.2 2
1180.8 2521.5 45.2 2
1190.4 2542 45.2 2
1200 2562.5 45.2 2
1209.6 2583 45.2 3
1219.2 2603.5 45.2 3
1228.8 2624 45.2 3
1238.4 2644.5 45.2 3
1248 2665 45.2 3
1257.6 2685.5 45.2 3
1267.2 2706 45.2 3
1276.8 2726.5 45.2 5
1286.4 2747 45.2 5
1296 2767.5 45.2 5
1305.6 2788 45.2 5
1315.2 2808.5 45.2 5
1324.8 2829 45.2 5
1334.4 2849.5 45.2 5
1344 2870 45.2 5
1353.6 2890.5 45.2 5
1363.2 2911 45.2 5
1372.8 2931.5 45.2 5
1382.4 2952 45.2 5
1392 2972.5 45.2 5
1401.6 2993 45.2 5
1411.2 3013.5 45.2 5
1420.8 3034 45.2 5
1430.4 3054.5 45.2 5
1440 3075 45.2 6
1449.6 3095.5 45.2 6
1459.2 3116 45.2 3
1468.8 3136.5 45.2 3
1478.4 3157 45.2 3
1488 3177.5 45.2 3
1497.6 3198 45.2 3
1507.2 3218.5 45.2 5
1516.8 3239 45.2 5
1526.4 3259.5 45.2 5
1536 3280 45.2 5
1545.6 3300.5 45.2 5
1555.2 3321 45.2 5
1564.8 3341.5 45.2 5
1574.4 3362 45.2 5
1584 3382.5 45.2 5
1593.6 3403 45.2 5
1603.2 3423.5 45.2 5
1612.8 3444 45.2 5
1622.4 3464.5 45.2 5
1632 3485 45.2 5
1641.6 3505.5 45.2 5
1651.2 3526 45.2 5
1660.8 3546.5 45.2 3
1670.4 3567 45.2 6
1680 3587.5 45.2 6
1689.6 3608 45.2 6
1699.2 3628.5 45.2 6
1708.8 3649 45.2 6
1718.4 3669.5 45.2 6
1728 3690 45.2 6
1737.6 3710.5 45.2 6
1747.2 3731 45.2 6
1756.8 3751.5 45.2 6
1766.4 3772 45.2 6
1776 3792.5 45.2 6
1785.6 3813 45.2 6
1795.2 3833.5 45.2 6
1804.8 3854 45.2 6
1814.4 3874.5 45.2 6
1824 3895 45.2 6
1833.6 3915.5 45.2 6
1843.2 3936 45.2 6
1852.8 3956.5 45.2 3
1862.4 3977 45.2 3
1872 3997.5 45.2 3
1881.6 4018 45.2 3
1891.2 4038.5 45.2 3
1900.8 4059 45.2 3
1910.4 4079.5 45.2 3
1920 4100 45.2 6
1929.6 4120.5 45.2 6
1939.2 4141 45.2 2
1948.8 4161.5 45.2 2
1958.4 4182 45.2 3
1968 4202.5 45.2 3
1977.6 4223 45.2 3
1987.2 4243.5 45.2 3
1996.8 4264 45.2 3
2006.4 4284.5 45.2 3
2016 4305 45.2 3
2025.6 4325.5 45.2 3
2035.2 4346 45.2 3
2044.8 4366.5 45.2 3
2054.4 4387 45.2 3
2064 4407.5 45.2 3
2073.6 4428 45.2 3
2083.2 4448.5 45.2 3
2092.8 4469 45.2 3
2102.4 4489.5 45.2 3
2112 4510 45.2 3
2121.6 4530.5 45.2 3
2131.2 4551 45.2 3
2140.8 4571.5 45.2 6
2150.4 4592 45.2 6
2160 4612.5 45.2 6
2169.6 4633 45.2 6
2179.2 4653.5 45.2 6
2188.8 4674 45.2 6
2198.4 4694.5 45.2 6
2208 4715 45.2 6
2217.6 4735.5 45.2 6
2227.2 4756 45.2 6
2236.8 4776.5 45.2 6
2246.4 4797 45.2 6
2256 4817.5 45.2 6
2265.6 4838 45.2 6
2275.2 4858.5 45.2 6
2284.8 4879 45.2 6
2294.4 4899.5 45.2 6
2304 4920 45.2 6
2313.6 4940.5 45.2 6
2323.2 4961 45.2 6
2332.8 4981.5 45.2 6
2342.4 5002 45.2 6
2352 5022.5 45.2 6
2361.6 5043 45.2 6
2371.2 5063.5 45.2 6
2380.8 5084 45.2 6
2390.4 5104.5 45.2 6
2400 5125 45.2 6
2409.6 5145.5 45.2 6
2419.2 5166 45.2 6
2428.8 5186.5 45.2 6
2438.4 5207 45.2 6
2448 5227.5 45.2 6
2457.6 5248 45.2 6
2467.2 5268.5 45.2 6
2476.8 5289 45.2 6
2486.4 5309.5 45.2 6
2496 5330 45.2 6
2505.6 5350.5 45.2 6
2515.2 5371 45.2 6
2524.8 5391.5 45.2 6
2534.4 5412 45.2 6
2544 5432.5 45.2 6
2553.6 5453 45.2 6
2563.2 5473.5 45.2 6
2572.8 5494 45.2 6
2582.4 5514.5 45.2 6
2592 5535 45.2 6
2601.6 5555.5 45.2 6
2611.2 5576 45.2 6
2620.8 5596.5 45.2 6
2630.4 5617 45.2 6
2640 5637.5 45.2 6
2649.6 5658 45.2 6
2659.2 5678.5 45.2 6
2668.8 5699 45.2 6
2678.4 5719.5 45.2 6
2688 5740 45.2 6
2697.6 5760.5 45.2 6
2707.2 5781 45.2 6
2716.8 5801.5 45.2 6
2726.4 5822 45.2 6
2736 5842.5 45.2 6
2745.6 5863 45.2 6
2755.2 5883.5 45.2 6
2764.8 5904 45.2 6
2774.4 5924.5 45.2 6
2784 5945 45.2 6
2793.6 5965.5 45.2 6
2803.2 5986 45.2 6
2812.8 6006.5 45.2 6
2822.4 6027 45.2 6
2832 6047.5 45.2 6
2841.6 6068 45.2 6
2851.2 6088.5 45.2 6
2860.8 6109 45.2 6
2870.4 6129.5 45.2 6
2880 6150 45.2 6
2889.6 6170.5 45.2 6
2899.2 6191 45.2 6
2908.8 6211.5 45.2 6
2918.4 6232 45.2 6
2928 6252.5 45.2 6
2937.6 6273 45.2 6
2947.2 6293.5 45.2 6
2956.8 6314 45.2 6
2966.4 6334.5 45.2 6
2976 6355 45.2 6
2985.6 6375.5 45.2 6
2995.2 6396 45.2 6
3004.8 6416.5 45.2 6
3014.4 6437 45.2 6
3024 6457.5 45.2 6
3033.6 6478 45.2 6
3043.2 6498.5 45.2 6
3052.8 6519 45.2 6
9.6 20.5 67.8 6
19.2 41 67.8 6
28.8 61.5 67.8 6
38.4 82 67.8 6
48 102.5 67.8 6
57.6 123 67.8 6
67.2 143.5 67.8 6
76.8 164 67.8 6
86.4 184.5 67.8 6
96 205 67.8 6
105.6 225.5 67.8 6
115.2 246 67.8 6
124.8 266.5 67.8 6
134.4 287 67.8 6
144 307.5 67.8 6
153.6 328 67.8 6
163.2 348.5 67.8 6
172.8 369 67.8 6
182.4 389.5 67.8 6
192 410 67.8 6
201.6 430.5 67.8 6
211.2 451 67.8 6
220.8 471.5 67.8 6
230.4 492 67.8 6
240 512.5 67.8 6
249.6 533 67.8 6
259.2 553.5 67.8 6
268.8 574 67.8 2
278.4 594.5 67.8 2
288 615 67.8 8
297.6 635.5 67.8 2
307.2 656 67.8 2
316.8 676.5 67.8 2
326.4 697 67.8 2
336 717.5 67.8 2
345.6 738 67.8 2
355.2 758.5 67.8 2
364.8 779 67.8 2
374.4 799.5 67.8 2
384 820 67.8 2
393.6 840.5 67.8 2
403.2 861 67.8 2
412.8 881.5 67.8 2
422.4 902 67.8 2
432 922.5 67.8 2
441.6 943 67.8 2
451.2 963.5 67.8 2
460.8 984 67.8 2
470.4 1004.5 67.8 2
480 1025 67.8 2
489.6 1045.5 67.8 2
499.2 1066 67.8 2
508.8 1086.5 67.8 8
518.4 1107 67.8 2
528 1127.5 67.8 2
537.6 1148 67.8 7
547.2 1168.5 67.8 7
556.8 1189 67.8 5
566.4 1209.5 67.8 5
576 1230 67.8 5
585.6 1250.5 67.8 2
595.2 1271 67.8 2
604.8 1291.5 67.8 2
614.4 1312 67.8 2
624 1332.5 67.8 6
633.6 1353 67.8 6
643.2 1373.5 67.8 6
652.8 1394 67.8 2
662.4 1414.5 67.8 2
672 1435 67.8 2
681.6 1455.5 67.8 2
691.2 1476 67.8 7
700.8 1496.5 67.8 7
710.4 1517 67.8 2
720 1537.5 67.8 2
729.6 1558 67.8 2
739.2 1578.5 67.8 2
748.8 1599 67.8 2
758.4 1619.5 67.8 2
768 1640 67.8 2
777.6 1660.5 67.8 2
787.2 1681 67.8 2
796.8 1701.5 67.8 2
806.4 1722 67.8 2
816 1742.5 67.8 2
825.6 1763 67.8 2
835.2 1783.5 67.8 2
844.8 1804 67.8 2
854.4 1824.5 67.8 2
864 1845 67.8 2
873.6 1865.5 67.8 2
883.2 1886 67.8 2
892.8 1906.5 67.8 2
902.4 1927 67.8 2
912 1947.5 67.8 2
921.6 1968 67.8 5
931.2 1988.5 67.8 5
940.8 2009 67.8 5
950.4 2029.5 67.8 5
960 2050 67.8 5
969.6 2070.5 67.8 5
979.2 2091 67.8 5
988.8 2111.5 67.8 5
998.4 2132 67.8 5
1008 2152.5 67.8 5
1017.6 2173 67.8 5
1027.2 2193.5 67.8 5
1036.8 2214 67.8 6
1046.4 2234.5 67.8 6
1056 2255 67.8 6
1065.6 2275.5 67.8 6
1075.2 2296 67.8 2
1084.8 2316.5 67.8 2
1094.4 2337 67.8 2
1104 2357.5 67.8 2
1113.6 2378 67.8 2
1123.2 2398.5 67.8 2
1132.8 2419 67.8 2
1142.4 2439.5 67.8 2
1152 2460 67.8 2
1161.6 2480.5 67.8 2
1171.2 2501 67.8 3
1180.8 2521.5 67.8 3
1190.4 2542 67.8 3
1200 2562.5 67.8 3
1209.6 2583 67.8 3
1219.2 2603.5 67.8 3
1228.8 2624 67.8 3
1238.4 2644.5 67.8 3
1248 2665 67.8 3
1257.6 2685.5 67.8 3
1267.2 2706 67.8 3
1276.8 2726.5 67.8 3
1286.4 2747 67.8 3
1296 2767.5 67.8 3
1305.6 2788 67.8 3
1315.2 2808.5 67.8 3
1324.8 2829 67.8 5
1334.4 2849.5 67.8 5
1344 2870 67.8 5
1353.6 2890.5 67.8 5
1363.2 2911 67.8 3
1372.8 2931.5 67.8 3
1382.4 2952 67.8 3
1392 2972.5 67.8 3
1401.6 2993 67.8 3
1411.2 3013.5 67.8 3
