,X_m,Y_m,Z_m,Hydraulic_conductivity_m/s
352,9,3,1.4,0.00016843507
353,9,3,1.45,4.9242151E-05
354,9,3,1.5,5.91728752E-05
355,9,3,1.55,2.99376655E-05
356,9,3,1.6,2.10595992E-05
357,9,3,1.65,5.2391809E-05
358,9,3,1.7,0.000119636124
359,9,3,1.75,0.000115672277
360,9,4,0,0.000220708022
361,9,4,0.05,0.00025860738
362,9,4,0.1,0.000274308543
363,9,4,0.15,0.000203191513
364,9,4,0.2,0.000181147151
365,9,4,0.25,0.000224580093
366,9,4,0.3,0.000195934673
367,9,4,0.35,5.66418821E-05
368,9,4,0.4,6.02875919E-05
369,9,4,0.45,8.72799902E-05
370,9,4,0.5,0.000155478526
371,9,4,0.55,0.000228590452
372,9,4,0.6,0.000128438782
373,9,4,0.65,8.29167155E-05
374,9,4,0.7,4.06383027E-05
375,9,4,0.75,0.000133809044
376,9,4,0.8,0.000106583661
377,9,4,0.85,7.7098836E-05
378,9,4,0.9,7.74815888E-05
379,9,4,0.95,8.47351843E-05
380,9,4,1,8.7478806E-05
381,9,4,1.05,0.000139142014
382,9,4,1.1,0.000205364684
383,9,4,1.15,0.00021882163
384,9,4,1.2,0.00011637332
385,9,4,1.25,0.000105793928
386,9,4,1.3,0.000136181545
387,9,4,1.35,9.36663318E-05
388,9,4,1.4,5.90748489E-05
389,9,4,1.45,4.04670137E-05
390,9,4,1.5,3.60932293E-05
391,9,4,1.55,5.1478815E-05
392,9,4,1.6,7.47143892E-05
393,9,4,1.65,4.66929993E-05
394,9,4,1.7,8.44311761E-05
395,9,4,1.75,0.000152393634
396,9,5,0,0.000207584842
397,9,5,0.05,0.000177792574
398,9,5,0.1,0.000178619515
399,9,5,0.15,0.000151791288
400,9,5,0.2,0.000124067092
401,9,5,0.25,0.00011637332
402,9,5,0.3,8.70820766E-05
403,9,5,0.35,7.61968175E-05
404,9,5,0.4,8.66889301E-05
405,9,5,0.45,0.000138140992
406,9,5,0.5,0.00014118822
407,9,5,0.55,0.000120764767
408,9,5,0.6,8.20581106E-05
409,9,5,0.65,8.86909835E-05
410,9,5,0.7,7.44402554E-05
411,9,5,0.75,0.000110288441
412,9,5,0.8,8.86982998E-05
413,9,5,0.85,8.38432348E-05
414,9,5,0.9,8.50973001E-05
415,9,5,0.95,8.29698677E-05
416,9,5,1,0.000146019756
417,9,5,1.05,0.000142234059
418,9,5,1.1,0.000153612784
419,9,5,1.15,0.000266049319
420,9,5,1.2,0.000113618923
421,9,5,1.25,7.80186824E-05
422,9,5,1.3,4.72945764E-05
423,9,5,1.35,7.05741516E-05
424,9,5,1.4,7.38523001E-05
425,9,5,1.45,4.62013186E-05
426,9,5,1.5,3.99201622E-05
427,9,5,1.55,7.70434488E-05
428,9,5,1.6,9.20939951E-05
429,9,5,1.65,5.83635198E-05
430,9,5,1.7,7.80552765E-05
431,9,5,1.75,0.000117440966
432,9,6,0,0.00020634993
433,9,6,0.05,0.00019898029
434,9,6,0.1,0.000191060676
435,9,6,0.15,0.000160682828
436,9,6,0.2,0.000117801214
437,9,6,0.25,0.000157413188
438,9,6,0.3,0.000164820583
439,9,6,0.35,0.000105059247
440,9,6,0.4,0.000118528382
441,9,6,0.45,0.00017221164
442,9,6,0.5,0.000149428778
443,9,6,0.55,9.32116405E-05
444,9,6,0.6,5.43037525E-05
445,9,6,0.65,9.74700404E-05
446,9,6,0.7,7.85341432E-05
447,9,6,0.75,8.8501192E-05
448,9,6,0.8,4.94249627E-05
449,9,6,0.85,7.71148515E-05
450,9,6,0.9,9.67334907E-05
451,9,6,0.95,9.61969482E-05
452,9,6,1,9.45974738E-05
453,9,6,1.05,8.64936842E-05
454,9,6,1.1,7.38140827E-05
455,9,6,1.15,0.000150012483
456,9,6,1.2,0.000124282187
457,9,6,1.25,0.000147704599
458,9,6,1.3,6.13469585E-05
459,9,6,1.35,0.000108448256
460,9,6,1.4,7.68063921E-05
461,9,6,1.45,8.53404356E-05
462,9,6,1.5,8.97270935E-05
463,9,6,1.55,6.59848729E-05
464,9,6,1.6,8.57214196E-05
465,9,6,1.65,5.78361386E-05
466,9,6,1.7,5.93557899E-05
467,9,6,1.75,2.08729227E-05
